Navigator Erle Williams , tutored <head>in</head> the harsh school of Whitbread Round the World racing , trimmed the mainsail to the backstay while the broken boom was taken off .	8(6)
If you are already working as a nurse tutor <head>at</head> a college , please approach your principal for further details on how to apply .	5(3)
Isobel looked at the muddle with distaste , then quickly washed her hands , put a kettle of water on the gas stove and assembled cups and saucers on a tray , while Hank ambled curiously <head>around</head> the old-fashioned kitchen .	3(2)
Spread the warm toast <head>with</head> the chicken pate spread .	5(3a)
Swinging lightly over the top rail he glanced down , measured the drop to the shoulders of his unsuspecting victim below , and stepped <head>into</head> space .	3(3)
We have so far been considering the extent to which the intentional ingredient in natural language distinguishes it <head>from</head> other systems of animal communication .	14(11)
Yellow wallpaper , adorned <head>with</head> large magenta roses , formed a background for a series of hideous reproductions , most of which were spotted with mildew .	5(3a)
It meant only that one had to stay <head>inside</head> the school and stroll through the grounds a couple of times .	1(1)
More arrests are expected in other areas of Northern Ireland as investigations continue into collusion <head>between</head> security force personnel and loyalist paramilitary groups .	4(4)
He read <head>about</head> the unemployed in newspapers and saw films about them on television , pacing across photogenic sections of contemporary Britain and muttering darkly about waste and emptiness .	1(1)
Sprinkle the top evenly <head>with</head> chocolate chips and serve at once .	5(3a)
` If you 're right about Petula , then you 're not being fair <head>to</head> her , are you ?	8(3)-1
He banged my head <head>against</head> the Land Rover 's side window .	10(4)
In spite of the rain trickling <head>down</head> our necks , our spirits lifted .	1(1)
"` So I just went a-front there with my milk and vinegar ; rubbed it <head>in</head> my palm and fingers ; and then I rubbed it inside the horses "" nose and then round their nostrils ."	2(1a)
He gave a feeble chuckle , and clutched his ribs <head>with</head> his left hand .	4(3)
the uprising : commonly known in the West as the intifada -- the Palestinian uprising <head>against</head> Israeli occupation in Gaza and the West Bank of Jordan .	1(1)
Sir Thomas will no longer be acting as go-between in the matter of correspondence , but the prince might well contrive some other means of communicating <head>with</head> you .	1(1)
The simple , laughing islanders subsequently worshipped it as a god , much to the amusement <head>of</head> their more sophisticated neighbours .	12(6a)
It coasted <head>down</head> the mud walls and sploshed into the channel .	1(1)
There was a darker side to the growth <head>of</head> Arab-American consciousness .	12(6a)
The filaments on the underside of barnacles were found to resemble the bird 's feathers , so it was assumed the goose emerged half-grown <head>from</head> the barnacles clustered on floating logs .	1(1)
She folded his discarded jeans and shirt and stowed them <head>in</head> a locker , then turned his sleeping-bag inside out and shook it .	2(1a)
She whispered something <head>to</head> Mum , who furtively disappeared from the scene .	8(3)
Nathan moaned helplessly , tears running <head>down</head> his face .	1(1)
"` That 's yours , "" he said , jerking his thumb <head>towards</head> a white-swathed slab under the window ."	1(1)
Rickie chanted <head>at</head> me with a sudden and extraordinary vindictiveness .	9(5)
Ilsa 's house was dark and we padded through to the back porch <head>like</head> conspirators .	2(1a)
They were both bareheaded , but had smeared their faces <head>with</head> camouflage cream , and wore dark coloured zip-up windcheaters , denims and trainers .	5(3a)
By the time he reached the winding road to the fortress and the Rue du Barri , it was growing dark , and he seemed to be the only person <head>on</head> foot .	4(1c)
The eventual aim is find out whether engineered genes render a crop plant more aggressive than its traditional relatives -- and more likely to decamp <head>from</head> cultivation .	10(7)-1
Jefferson resigned <head>from</head> Downton International shortly afterwards , and put it about that he was fed up with working with such a large company .	10(7)
Jews were always prone <head>to</head> irrational guilt ; and perhaps especially now .	10(4a)
Here , an international study group has travelled <head>from</head> Kew Gardens in London to explore Oxford 's own tropical greenhouse .	1(1)
John Pendlebury 's ( 1939 ) view was that the Minoans always tended to combine their goddesses <head>into</head> a single deity .	6(6)
He enjoyed a public , after dinner , verbal duel <head>with</head> Dr Strick at Grantley Hall .	6(4)
We rolled into Casma just after three in the morning , the stink <head>of</head> fish oil hanging over the port and an old adobe fort peering at us out of mist .	9(5)
The arrest <head>of</head> two members of the ruling Transition Committee for the Salvation of the People ( CTSP ) was announced in late June .	12(6a)
The full width owners ( main deck ) and VIP guest stateroom ( lower deck ) rival each other <head>in</head> respect to overall comfort and appeal .	6(4a)
This alone testifies <head>to</head> the passions that the war aroused among non-Spanish contemporaries , for many of whom its significance went well beyond Spain itself .	14(6)
Anyone who has waded <head>into</head> the clear blue waters of the Mediterranean without proper footwear may have encountered the protective covering of the sea urchins .	3(3)
When they did make up the T-shirts -- as I backed down and did the separations -- they got busted <head>for</head> sedition , which was an obscure act of whenever .	6(5)
He and I have had a series of meetings <head>about</head> the provision of the slip road , and he reminded me of an undertaking that I had given when Minister responsible for health matters a few years ago .	1(1)
Oliver marched grimly along <head>behind</head> her .	3(2)
Harry Paget , Earl of Uxbridge and commander <head>of</head> the British cavalry , was second in command to the Duke .	6(3)
A stand <head>of</head> rosebay willow-herb ( Epilobium angustifolium ) , for example , with its striking tall spikes of pink flowers looks attractive for at most four months of the year .	3(1b)
Joyce sits up in the bed <head>beside</head> me .	1(1)
And she can not wait for her wedding blessing <head>in</head> December next year -- on her fourth anniversary .	3(2)
Beside him , Dougal almost pranced <head>along</head> the pavement .	1(1)
The creature writhed and grimaced <head>in</head> the most horrible manner , malignance imprinted in its every contour .	6(4a)-1
She buckled a stiff hard belt <head>around</head> Alexandra 's waist and stood back to admire the effect .	5(4)
` In exchange I 'd love to hear what you know <head>about</head> Sabine Jourdain painting for Durance .	1(1)
Marje now admits that her carefully nurtured image has been torn apart by revelations <head>from</head> a new biography .	12(9)-1
He touched his temple with his right forefinger and Lee saw again the white scar <head>across</head> his knuckles , a remnant of pain from his childhood , still yelling .	1(1)
The shadow of our plane skipped <head>across</head> the bright sea , then flickered over the outer coral .	1(1)
After lunch depart <head>by</head> boat for a five-hour journey down the Kok river , passing tiny hilltribe villages , bamboo huts and jungle .	8(2c)
He was shaking <head>from</head> the shock of the recoil of the gun , which had sent him flying backwards .	12(9)
He noticed that he was almost out of them and fumbled <head>in</head> his jacket pocket for some change to feed into the cigarette machine .	7(5)
The plate clattered <head>to</head> the kitchen table .	1(1)
1.21 The plaintiff 's rights in relation to medical examinations <head>by</head> the defendant 's doctor have been redefined in two cases .	3(1b)
In addition , about 36 fragments <head>of</head> metallic nickel-iron meteorites have been collected , one of which contains minute diamonds , and is the second of its kind known in the world .	3(1b)
Despite extensive inquiries officers have still not traced the owner of a red Sierra-style saloon seen in the driveway <head>to</head> the 82-year-old woman 's Martlesham bungalow at about 2.30 pm on Wednesday February 10 .	1(1)
It was Jo 's memories of her war-time evacuation <head>from</head> London to foster homes in the country which stimulated her first work in phototherapy .	10(7)
In other harem-forming species the takeover by another male or males is commonly followed by either the killing or complete ejection <head>of</head> the old owner and by the slaughter of babies and infants ( Hrdy 1974 ) .	12(6a)
I had a permanent grin <head>on</head> my face about it all .	7(2)
She disappeared <head>towards</head> the dining room .	1(1)
In the wake of Dutskche 's wounding in Berlin the Nanterre students descended <head>on</head> the Sorbonne , the ancient university of Paris .	11(5)
Instantly , she recognised <head>from</head> his voice that there was something seriously wrong with her brother .	13(10)
The Vendor should be diligent <head>in</head> their disclosures .	7(5)
As far as we knew every previous expedition had ferried the sheep <head>by</head> dinghy , a tedious operation which must have been hard on both men and sheep , to say nothing of the dinghy .	2(1a)
A BRITISH tourist was repeatedly raped <head>on</head> a South African beach , just one week after the savage murders of Elizabeth Over and Julie Godwin .	2(1a)
Now that he had told her everything , he expected her to condemn him <head>for</head> what he had done , but she said nothing .	6(5)
The man murmured his commiserations and she joked <head>with</head> him .	1(1)
The orbital motion of the earth provided a causal explanation for why the planets appeared to meander <head>across</head> the sky .	1(1)
Or was it just the wind rustling the leaves <head>along</head> the grass ?	1(1)
We fled <head>down</head> a long avenue towards the river .	3(1b)
The visit , postponed from September , included an address <head>by</head> Yeltsin to the South Korean National Assembly on Nov. 19 .	3(1b)
Women have proved to be astute <head>in</head> business .	7(5)
A plethora <head>of</head> schemes was thought up .	3(1b)
"Figures for the pre-census period are unreliable ; but , according to an informed assessment of 1835 , ` half the infants baptised <head>in</head> London in the period 1770-89 were dead before the age of five . """	1(1)
Tell you what , you hunt <head>through</head> the file , see if we have a case history on Miss Duncan .	10(3)
The burglar not only lost his civil action against the owner but was also presumably convicted <head>at</head> the local criminal courts -- it just was n't his lucky day .	1(1)
We await <head>with</head> interest their definition of three and a half hours .	9(7)
The UN Department of Economic and Social Affairs took a special interest in these issues and a series of intensively-researched reports <head>in</head> the 1970s led to the creation of a Commission on Transnational Corporations and a research centre .	3(2)
He washed and dressed quietly and stole <head>into</head> the kitchen , only to find Zelah making coffee .	3(3)
A short stroll <head>across</head> the pretty River Leven will take you into the Church where the Cook family worshipped .	1(1)
On Boxing Day she put a short note <head>through</head> Doris 's door with her little bit of news and positively ran back home , feeling suddenly young again and full of energy .	1(1)
` Of course I still have a wife , but there 's no need for you to worry your pretty little head <head>about</head> it .	1(1)
Annie picked up her half-full coffee mug and flounced <head>into</head> the kitchen , suddenly at bay .	3(3)
They lay together for a while , half asleep , kissing now and again ; then she draped one leg <head>across</head> his hips and they began to make love languorously , without speaking .	2(2)
The two girls died when the car ploughed <head>into</head> them from behind as they skipped along a pavement .	2(2)
"Vasari recorded it in situ in his biography <head>of</head> Cosimo Roselli , but the work has since been attributed to the Master of the Fiesole ` Epiphany "" , a follower of Domenico Ghirlandaio ."	9(5)
"The opposition is screaming <head>about</head> a "" travesty of democracy "" ."	1(1)
The principal town in this area is Ullapool , founded by the British Fisheries Society towards the end of the eighteenth century to exploit the shoals <head>of</head> herring that used to arrive each July .	3(1b)
Quickly she put together a few sandwiches and , suitably dressed for walking , waited impatiently as they chugged slowly <head>towards</head> their planned point of departure .	1(1)
His amusement <head>at</head> the scene was rekindled .	11(6)-1
They might look cool in the pub and strutting <head>around</head> the car park at Ogwen Cottage , but when the chips were down you got wet .	3(2)
Using a shampoo specially formulated <head>for</head> permed hair is one way to combat the damage caused .	5(4)
The expensive item slithered off his back <head>like</head> a shed snakeskin .	2(1a)
Every product needs to be promoted , that is to say it needs to be drawn to the attention <head>of</head> the market-place , and its benefits identified .	11(6)
Dorset , Devon and Cornwall on the English Channel side are Britain 's riviera , more sheltered from the prevailing winds , and offering a charmingly soft coastline dotted <head>with</head> pretty fishing villages .	5(3a)
` He and a Ukrainian Nazi attacked and killed a woman <head>during</head> the Russian campaign .	2(1a)
The extent of their embarrassment <head>over</head> their bonding was illustrated by the fact they 'd held it so privately .	16(7)
What does it smell <head>like</head> ?	5(1d)
Werewolf narrowed his eyes and pursed his lips <head>at</head> her , making a face which would have worried an exorcist .	9(5)
Mr Erich Honecker , aged 77 , the disgraced former party chief , is among six ex-politburo members now under investigation <head>for</head> abuse of office , corruption and personal enrichment .	5(4)
He was long overdue <head>for</head> a shave , and the combination of the dark stubble , the tousled hair from the theatre cap and the warm smell of leather was a potent combination .	11(9)
Jamie is not the type to tuck himself <head>in</head> bed early .	2(1a)
Beat 100g/4oz vegetarian Stilton with 25g/1oz softened butter , one tablespoon <head>of</head> port , one finely chopped pear and one teaspoon of snipped chives .	3(1b)
When we were naughty he 'd give Fred the strap but he 'd sit me <head>on</head> the mantelpiece to make me mind my manners .	1(1)
His hand wanders constantly <head>over</head> it as if it were a fine thoroughbred thin-skinned horse .	11(4)
If you have become fairly proficient <head>at</head> the nose-in hover , you may find that this figure is easier to perform by standing with your back to the wind and taking off and landing in the nose-in position .	8(4a)
Finally , a number of categories of women were identified as having particular problems with regard to employment , namely travelling women and girls , who suffer a myriad <head>of</head> problems , older women , and lone parents .	3(1b)
Adam lunged <head>towards</head> her , but lost his footing and crashed down again .	1(1)
This is bound to create suspicions <head>among</head> the majority Sinhalese community that the Tigers still harbour ambitions of their own Tamil state .	3(3)
An article which appeared in the paper contained comments by three jurors on what occurred when they retired to consider their verdict <head>in</head> one of the most complex trials in British legal history .	7(5)
NeTpower machines are meant to look , feel and smell <head>like</head> a PC .	1(1)
"The important words so far as this appeal is concerned are the words ` any enactment or rule of law restricting the right of any other person to recover possession <head>of</head> the premises . """	12(6a)
Then he was climbing back up the bank he had slithered <head>down</head> and I watched as he walked in a leisurely fashion across the slope of the mountain to the gully .	1(1)
Sam thrust his leg <head>over</head> the sill .	2(1a)
We were heading <head>into</head> town again .	3(3)
I hope that they will not be interpreted as questioning the adequacy <head>of</head> existing services .	11(6)
Both sides were spying <head>on</head> each other quite openly in the course of which many aggressive situations had occurred with loss of spy aircraft and their crews .	11(5)
A BANK clerk was praised by police yesterday after she calmly locked a masked gunman <head>inside</head> the branch he was trying to rob .	1(1)
"Playing the piano is something I love and I want to be brilliant <head>at</head> it . """	8(4a)
"According to the club call Rod Wallace 's recovery <head>from</head> his hamstring injury has speeded up greatly and he is ` in with a good chance "" of playing against Battyburn on Sunday ."	10(7)-1
He would clearly hate to be patronized ; he would smell patronage <head>in</head> any apology , in any request for help made out of desire to soothe sore feelings .	7(5)
"` Touch her again with your filthy paws , and I 'll ram my fist <head>into</head> your ugly face ! """	2(2)
They prowled <head>across</head> the soft carpet in their elegant high-heeled shoes , and then kicked them off to lounge seductively on the four-poster bed .	1(1)
Lee sat sideways <head>on</head> the crossbar and Philip freewheeled down the hill .	1(1)
"All week long , the Hollywood gossip <head>about</head> this case was of drugs , mysticism and off-beat sex , and for once there may be more truth than fantasy in the flashy talk of the town . """	1(1)
In an article <head>in</head> the Church of England Newspaper recommending church planting , he adds this caution :	7(5)
Grant flung himself <head>to</head> one side but this time he was just a split second too late .	1(1)
The report , ordered by President Mikhail Gorbachev in January , exonerated Soviet troops of blame <head>for</head> the deaths .	6(5)
He makes sure that Dave Wynters , Stan Parsons and Eileen Tucker are totally conversant <head>with</head> the revenue status , if possible on a daily rather than weekly basis .	9(7)
And once he had heard Sweetheart coming down the stairs , her high-heels ringing on the stone steps , and he had thrown the stolen food <head>in</head> Rosie 's corner in a panic .	2(1a)
People travelled <head>from</head> remote lands just to be a part of it , for no one was ever turned from the door .	1(1)
A trio <head>of</head> grumpy officers , all Pinochet look-alikes , demanded our passports , eyeing us curiously lest we be Argentine spies .	3(1b)
He moved forward , tracing the scar <head>beneath</head> Chen 's left ear with his forefinger .	1(1)
"In an address <head>on</head> radio and television , Ershad said that his action suspending all civil rights and imposing press censorship was necessary to "" save the country from the octopus of destructive politics "" ."	13(6a)
The canal men at Gairlochy advised me to keep to the south-east of Loch Lochy and follow the disused rail track to Laggan instead of the forestry road <head>on</head> the other side .	2(1a)
There 's a woman just up the road so I hop <head>off</head> the wall and run after her .	4(3)
"The trial of 22 managers of the Thanh Huong perfume factory , charged in connection with the "" biggest case of fraud known to date "" , involving 153,000 million dong , concluded <head>on</head> Oct. 27 ."	17(8)
She skipped in circles round the silent chamber , her great head bobbing <head>like</head> a bird 's .	2(1a)
Even the Chancellor of Oxford University , Roy Jenkins , has to wait outside on the steps of the Clarendon buildings on a cold November morning , when the Sultan <head>of</head> Brunei is in town .	6(3)
His violations <head>of</head> truth and trust make him , for anyone who conceives of the human community as being based on mutual help , guilty of ingratitude , of breaking those bonds of reciprocity which make life possible .	12(6a)
His impatient reply made her hackles rise even as a tiny treacherous thrill slithered <head>along</head> her veins .	1(1)
Understandably , she fretted <head>at</head> this circumscribed lifestyle , but another episode of somewhat more serious bleeding two weeks ago had convinced everyone that the programme of rest and professional care was not an overcautious one .	11(6)-1
Thinking that was a dig at female priorities , she smiled but said nothing as they chugged slowly <head>to</head> a small jetty .	1(1)
"I 've been ringing my family <head>at</head> regular intervals to see how things are going . """	2(2)
"Two pieces of 2"" x 2"" wood were cut to the length of the vat , painted <head>with</head> wood preserver and then screwed to the top of each side of the vat using self-tapping screws ."	5(3a)
She wrinkled her nose <head>at</head> him .	9(5)
"Why should there be so much adoration <head>of</head> Esther Rantzen and so much favouritism extended towards her , and so much envy of and hostility towards the quite blameless , devastatingly lovely and completely inoffensive Selina Scott ? """	12(6a)
The wicked giant , a descendant <head>of</head> the Norse god Thor , discovered one day that one of his boars had been killed . PUN	6(3)
The dogs locate the bait easily <head>by</head> smell , but the native Galapagos animals , which seek food primarily by sight , do not manage to find it .	5(2)
Attempts to straighten out the Lang Lang river <head>in</head> Australia between 1920 and 1923 caused a series of cuts into the bank , which progressed rapidly upstream and destroyed seven bridges .	1(1)
Topaz stared at the ring <head>with</head> the huge ruby surrounded by diamonds , her eyes like saucers .	2(2) 3(2a)
I storm <head>across</head> the board and topple his bishop or something , then turn round and find he 's closed the back door .	1(1)
He criticized Bevin <head>for</head> lack of imagination -- surely an inverted compliment given its implication of positive contributions in the past .	6(5)
The lecture had allowed a mental flight ; now vigour flowed <head>through</head> her limbs .	10(3)-1
This dramatic demonstration was part of a series of campaigns and rallies which took place in the summer of 1885 , as an immediate response to the revelations <head>by</head> the Pall Mall Gazette of the horrors of juvenile prostitution .	3(1b)
So , everyone does their own thing , the SCO with gamelan instruments assembled <head>from</head> recycled bits and pieces -- old cars etc -- and involving children from all over Lothian .	4(3)
Lady Kitty 's wardrobes were crammed <head>with</head> clothes , and she would give those for which she had no further use to someone with little money -- in exchange for some of their coupons , of course .	5(3a)
Keeping bent double , Hoomey wriggled <head>in</head> a frenzy back out of the door .	5(4)
Campriello , lawyer <head>for</head> defendant Ahmad Mohammad Ajaj , said he would object to any attempt to introduce the re-enactment as evidence at trial .	4(3a)
The satellite makes 14 orbits per day , and at present IRAS surveys the sky <head>for</head> nine orbits and uses DAX for five .	5(4)
The countryside became more deserted , farmsteads and villages more sparse as they approached the green mass <head>of</head> trees on the far horizon which Corbett knew must be the great Forest of Ettrick .	3(1b)
A crowd <head>of</head> farm workers had seen the fire and run into the field to help save the wheat , but they were so confused they did not know what to do .	3(1b)
Where would the poor girls be without their pimps , who shower money <head>on</head> them and ask for nothing in return ?	11(5)
His expulsion <head>by</head> American authorities contrasted strikingly with the reception he received from Rap Brown , Stokely Carmichael , Elijah Muhammad and other black leaders ( Edwards , 1970 , p. 107 ) .	3(1b)
Others were selected , and it is not known how , as the parish church for an area , in which the sacraments <head>of</head> baptism , marriage and burial were allowed .	9(5)
She pinched her cheeks quickly to add a little colour , and straightened the skirt <head>of</head> her plum-coloured sweater-dress before squaring her slim shoulders and resuming her descent .	2(1a)
Immediately after the blast the victim 's car rolled <head>down</head> hill and struck another car occupied by a woman .	1(1)
Leaving her bench , Fabia next took another stroll <head>around</head> the town which so enchanted her .	3(2)
The near vicinity offers excursions <head>to</head> the legendary Bran Castle for a haunting encounter with Count Dracula 's past , or dining and dancing in the nearby mediaeval town of Brasov .	1(1)
This conclusion emerges from the NMR data alone , but is fully consistent <head>with</head> available biochemical data .	9(7)
Then I was tested for allergies <head>to</head> the serums and taught how and where to inject myself .	14(6)
It was at that meeting that Dista proposed a new wording <head>for</head> the Data sheet -- the standard form of recommendation to doctors on how a drug should be administered .	5(4)
I am concerned <head>about</head> my seven-year-old son .	1(1)
"He 's due to arrive <head>in</head> New York tonight for an official three-day visit . """	2(1a)
Their route became a steep scramble <head>between</head> white boulders speckled with green and grey lichen .	1(1)
Cork is made up of a myriad <head>of</head> tiny cells , each imprisoning a tiny pocket of air .	3(1b)
Lane Bodine ( Mary Elizabeth Mastrantonio ) , former lover <head>of</head> arms dealer Rourke , appears to be making her loot as the go-between in the arms scam .	6(3)
Edward 's extravagant revenge <head>on</head> his erstwhile enemies -- the so-called Contrariants -- was hardly calculated to reconcile them and was too excessive to repress them .	11(5)
He also incurred the anger <head>of</head> the apothecaries who were afraid of being put out of business if all their complex mixtures were swept away .	11(6)
I usually cooked Sunday lunch <head>after</head> we got back from church .	1(1)
With horror <head>in</head> her eyes , the nurse stated that the young girl had tearfully told the physician the events that had led to her tragic situation .	1(1)
"Since his first meeting <head>with</head> Wagner in 1868 he had known of the latter 's conviction that Schopenhauer was "" the only philosopher who had understood the essence of music "" ."	1(1)
The first birds we see are a group of turnstones and a redshank , busily feeding in the park below the house , probing <head>into</head> the area of damaged grass where my neighbour 's sheep are fed .	5(5)
I , however , strutted out <head>like</head> a barnyard cock , booted and cloaked , a broad-brimmed hat on my head with a black and white plume hanging from it .	2(1a)
Assembled in the church were a great number <head>of</head> turbanned priests , holding silver crosses , and deacons wearing coloured vestments and silver crowns .	3(1b)
The latex , flowing <head>to</head> the site of the wound , drips harmlessly to the ground and the beetle then munches the leaf tissues beyond the cut which the latex can not reach .	1(1)
Here , a small clump <head>of</head> scarlet tulips brings a disproportionate flash of brilliance to a spring dalliance of Daphne mezereum , muscari , erythronium and Magnolia stellata	3(1b)
"Prior to the June 13 deadline there had been increasing reports of ceasefire violations <head>by</head> Khmer Rouge fighters , leading UNTAC chief co-ordinator Yasushi Akashi to condemn the party 's behaviour as "" extremely unacceptable "" ."	3(1b)
The Benelux states were hostile to the suggestion , because they hoped that a geographical expansion <head>of</head> EEC membership , including British participation , would occur before concrete political plans were discussed .	12(6a)
Four great crested grebes , six mallards and five tufted ducks were feeding <head>on</head> the aquatic creatures which had already colonised the water .	9(3a)
Ruth sat <head>on</head> the loo and held her head in her hands .	1(1)
He strode <head>to</head> the door and then slanted a look at her that was all sardonic speculation .	1(1)
"A haunted theatre is the setting for this exciting and atmospheric thriller <head>from</head> the author of ` Night Must Fall "" ."	12(9)-1
An important point to note here is that these were not really arguments <head>against</head> correctionalism as such .	1(1)
` And it was very perceptive <head>of</head> you .	13(6b)
In spite of this , those actors who stole <head>into</head> the auditorium between entrances returned full of enthusiasm .	3(3)
The construction <head>of</head> a cross-Channel link was discussed exhaustively in the early 1980s before the proposal for a joint British/French rail tunnel was finally approved in 1986 .	12(6a)
This allocation of power by Pepin was probably based upon his recognition of a feud between Charles and Carloman who , of course , remained unfriendly <head>towards</head> one another after their respective crownings and inheritances .	4(2)
And I never regretted it , I 'll be quite honest <head>with</head> you .	9(7)
but it rolls <head>along</head> the gutter and it drops down through the grating of a drain .	1(1)
I saw him to the door and watched him pace away <head>along</head> the streets he knew better than most others in London .	1(1)
"` Thanks , Nick , it was sweet <head>of</head> you . """	13(6b)
` Remember me confessing <head>to</head> Cal that I never had dreams ?	8(3)
As we squelched <head>along</head> the road and into the farmyard I felt a feeling of utter exhaustion .	1(1)
Brush the top of one semi-circle <head>with</head> apricot glaze and place the other on top to form a half-moon sandwich .	5(3a)
It is not only track-owners who want machines ; it is any community that wants to tap into tourism , or ( especially round desert retirement cities ) into the boredom of senior citizens puttering <head>from</head> one amusement to the next .	1(1)
` There have been quite a few calls <head>from</head> readers	4(3)
On Monday night he rang <head>from</head> his car for the score .	4(3)
When the plaintiff then attempted to remove the furniture the defendant forbade him to do so and stationed a policeman <head>at</head> the gate to make sure he did not .	1(1)
Trafalgar House plc is constructing a bridge across the River Thames <head>above</head> the Dartford Tunnels , which it runs , using the tolls to pay for the bridge .	4(2)
The awakened will gives rise to fear of God , sorrow <head>for</head> sin , hope for forgiveness and love of God ( Leah 's first four children ) .	6(5)
He insisted it was simple -- go in that direction and plant the flags <head>at</head> regular intervals .	1(1)
But on hearing <head>of</head> the find , the Archbishop immediately put forward the case that the original contract of sale of the Palace had not included furnishings , so the tapestries were the property of the Church .	14(7)
"He also praised his staff <head>for</head> their dedication in the face of continuing terrorist disruption and described the increase in cross-border traffic as ` particularly gratifying "" ."	6(5)
She folded napkins to look like coronets and gave the crystal glasses a final polish before positioning them <head>in</head> groups to the right of each place .	6(4a)-1
Keith throws his hands <head>above</head> his head in the touchdown sign .	4(2)
He marched <head>down</head> the steps .	3(1b)
Meanwhile another Dollfus , great-grandson <head>of</head> the founder , entered another local family firm , Schlumberger et Cie .	6(3)
Children , boys and girls , were loading small carts to be dragged <head>along</head> by old horses .	1(1)
There are lots of shirty assertions <head>about</head> independence , few actively demonstrated .	1(1)
He was going to take me to the derelict chateau he and Montaine had discovered <head>in</head> a clearing in one of the forests .	7(5)
Nicola tottered <head>round</head> the table on her high heels and slid her buttocks on to the table .	8(4)
She wore a smart blue skirt , and her new navy three-quarter-length coat over her shoulders ; a white lacy blouse <head>with</head> a navy-blue trimming .	2(2)
"The US deplored the assassination <head>as</head> a ` despicable act of terrorism against a man of peace . """	1(1)
Once out of Kathmandu we started getting long stares <head>from</head> villagers , laying out spring wheat on the road to be threshed by passing cars and carts .	12(9)-1
Central to this is , of course , the realisation that most cases of food poisoning result from carelessness <head>by</head> food handlers -- hence the emphasis now on training .	3(1b)
He was a whizz <head>at</head> this business , Charity thought with reluctant admiration .	8(4a)
So the population is growing fairly rapidly even though about 8000 people emigrate <head>from</head> the region each year .	1(1)
Brahmadaitya are kind to humans , though should one be foolish enough to chop down the palm tree where this spirit lives , the offender 's neck will be snapped , <head>like</head> a twig .	3(1b)
Peacocks strut <head>through</head> the grounds and the whole is surrounded by an inner and outer moat .	3(1b)
And freight traffic exports jumped <head>by</head> 13 per cent to 4,000 tonnes and imports were up by over 20 per cent , giving an overall freight increase for the month of 17 per cent .	12(3)
Helicopters in heavily armed formation brought the allied commanders to their meeting <head>with</head> Iraqi generals , the rendezvous , an Iraqi airbase occupied by coalition forces .	1(1)
There are other exceptions besides consent : lawful chastisement <head>of</head> a child , force used to effect an arrest , reasonable force in self-defence or to prevent crime .	12(6a)
In such conditions , a brown forest soil seems to have developed widely <head>from</head> late glacial times through to the Bronze Age .	3(2)
Mr Eggar also rejected schemes near bird sanctuaries at Pembroke , Lundy , the east <head>of</head> Scotland , north Norfolk and the English Channel .	2(1a)
Note the flagpoles <head>on</head> the houses .	1(1)
There will be a daylong jamboree , treasure hunt and barbecue <head>on</head> the Saturday .	17(8)
Philip crawled in <head>after</head> him and they sat close up against the side .	5(2)
In those days , too , when the guests entered they crossed <head>between</head> me and the cameras , which did strange things to the perspective .	1(1)
Make these queries <head>to</head> Dr. Dillenius .	8(3)
The south is gentler with soft , clean sands and cool blue waters ; in spring the flower fields burst into vibrant colour and wild fowl swim <head>on</head> two small lakes .	1(1)
It was felt that the government was not sincere <head>in</head> the implementation of community care because they mention community care in the same breath as cutbacks .	6(4a)
"The ideal of ` each woman in her own house "" is certainly one fostered by advertising , and thus it may be , in part , a stereotyped response to the boredom <head>of</head> housework ."	9(5)
"` Look on my works , ye mighty , and beware , "" he said to the statue , prised off his bubble-gum , examined it <head>for</head> impurities and put it back in his mouth ."	5(4)
Brush the back of the shapes <head>with</head> apricot puroNN1 , press a tree on to each corner of the cake and put four on top .	5(3a)
"He had even had the gall to blame it <head>on</head> Folly herself ; to say it would never have happened if she had been more ` reasonable "" ."	11(5)-1
"` Do n't forget to be at the meeting tomorrow then , "" we prompted as we trod carefully <head>on</head> the clumps of dry grass as if they were stepping-stones ."	5(1d)
Do n't put it in a plastic bag in the fridge and save it for visitors ; before you know where you are it 'll have swollen to three times its size and smell <head>like</head> a chemical factory .	1(1)
"Unless you have women 's bodies floating <head>down</head> this part of the river all the time . """	2(1a)
Jacob grabbed his basket and stumbled blindly <head>from</head> the room .	1(1)
In particular the Court found unconstitutional the differentiation between levels of payment <head>for</head> lost land and those for other property , and also the restriction of compensation to claims for property expropriated after June 8 , 1949 .	9(8)
I got no machines initially , but did receive a huge carton <head>of</head> magazines and books .	3(1b)-1
Are you excited at the prospect of its opening -- angry , totally bored <head>with</head> the subject ?	9(7)
"They spoke <head>about</head> the ` concerns and worries "" President Gorbachev had expressed about the developments in East Germany in recent days ."	1(1)
It shines quietly <head>from</head> the lubricating oil .	12(9)
Gouzenko 's involvement in the allegations <head>against</head> Sir Roger Hollis was the result of statements he made during the lengthy debriefing following his defection when he claimed there were two Russian spies both with the codename Elli .	2(1a)
The bottle <head>of</head> champagne took five attempts to break , the roses dropped , out of the two passing aircraft , missed the ceremony by 200 yards and the balloons drifted off downwind , unnoticed .	3(1b)-1
Sophie suppressed a smile <head>at</head> the exchange , and then brother and sister were upon them .	11(6)-1
"What I was looking at was identical with the "" White Cliffs of Dover "" in England and the rolling plateau <head>of</head> Picardy in France , the quarries of southern Sweden and the cliffs of eastern Denmark ."	6(3)
He stepped <head>through</head> the deep snow towards the grave where Tallis stood her silent guard .	1(1) 3(1b)
